iter	RMSE
0	62354.85615
1	62168.23164
2	62035.74281
3	61909.74123
4	61690.52056
5	61538.21451
6	61323.42266
7	61147.06559
8	60944.69376
9	60843.90652
10	60628.55714
11	60495.56667
12	60282.88285
13	60070.52663
14	59854.85157
15	59689.89208
16	59473.92761
17	59313.72535
18	59122.14524
19	58913.68425
20	58721.45993
21	58541.41237
22	58351.58019
23	58285.74238
24	58133.13108
25	58061.81126
26	57887.1443
27	57744.09362
28	57498.97846
29	57269.52305
30	57070.37853
31	56898.86979
32	56733.54153
33	56669.92574
34	56484.51641
35	56311.6552
36	56249.74194
37	56079.64835
38	55912.66444
39	55715.04526
40	55565.4034
41	55402.01849
42	55339.85207
43	55146.34102
44	54970.91872
45	54789.36083
46	54624.64311
47	54431.5048
48	54183.8005
49	54016.34298
50	53877.92695
51	53683.83022
52	53505.31976
53	53334.53447
54	53160.36081
55	53000.24041
56	52823.31799
57	52761.01366
58	52573.50132
59	52396.0165
60	52217.26182
61	52044.13937
62	51865.10962
63	51691.77117
64	51523.43945
65	51465.59818
66	51335.47435
67	51273.9373
68	51185.54144
69	51126.86727
70	50988.71546
71	50849.93985
72	50675.69385
73	50618.67199
74	50443.84506
75	50323.74814
76	50148.62093
77	49999.74768
78	49940.12049
79	49880.61937
80	49822.79241
81	49657.06798
82	49597.24023
83	49467.97195
84	49392.56853
85	49336.76332
86	49174.2124
87	49118.20376
88	48952.88645
89	48812.02442
90	48642.89036
91	48585.52568
92	48373.52747
93	48213.70909
94	48130.34997
95	47996.93818
96	47851.58853
97	47717.41136
98	47668.64655
99	47528.92001
