iter	Passed	Remaining
0	137	13586
1	137	6759
2	138	4483
3	139	3343
4	141	2682
5	143	2248
6	144	1922
7	145	1674
8	146	1479
9	146	1322
10	147	1195
11	148	1091
12	149	1002
13	150	923
14	150	855
15	151	795
16	152	743
17	152	695
18	153	653
19	153	615
20	155	583
21	156	555
22	158	529
23	158	502
24	159	478
25	160	456
26	161	436
27	162	416
28	162	398
29	163	380
30	163	364
31	164	349
32	164	334
33	165	321
34	166	308
35	166	296
36	167	285
37	168	274
38	169	264
39	170	255
40	171	247
41	172	238
42	173	230
43	174	222
44	175	214
45	176	206
46	176	199
47	177	192
48	177	185
49	178	178
50	179	172
51	179	166
52	180	160
53	181	154
54	181	148
55	182	143
56	183	138
57	184	133
58	185	129
59	186	124
60	187	119
61	188	115
62	188	110
63	189	106
64	190	102
65	190	98
66	191	94
67	192	90
68	193	86
69	193	82
70	194	79
71	194	75
72	195	72
73	196	68
74	196	65
75	197	62
76	199	59
77	201	56
78	202	53
79	203	50
80	204	47
81	205	45
82	205	42
83	206	39
84	206	36
85	207	33
86	208	31
87	208	28
88	209	25
89	209	23
90	210	20
91	211	18
92	211	15
93	212	13
94	214	11
95	220	9
96	220	6
97	221	4
98	223	2
99	224	0
